  17        0.1500        3.1000
  18        0.1700        3.3000
  19        0.2000        3.6000
  20        0.2500        4.1000
  21        0.3000        4.5000
  22        0.3500        4.7000
  23        0.4000        5.2000
  24        0.5000        5.7000
  25        0.7000        6.1000
  26        1.0000        7.2000
  27        1.2000        7.9000
  28        1.3000        7.9000
  29        1.5000        7.6000
  30        1.7000        7.3000
  31        1.9000        6.9000
  32        2.1000        6.6000
  33        2.2000        6.5000
  34        2.5000        6.1000
  35        2.8000        5.8000
  36        3.0000        5.7000
  37        3.3000        5.5000
  38        3.6000        5.4500
  39        4.0000        5.5000
  40        4.5000        5.5500
  41        5.0000        5.6000
  42        6.0000        6.0000
  43        7.0000        6.6000
  44        8.0000        7.1000
  45       10.0000        8.0000
  46       12.0000        8.5000
  47       15.0000        8.8000
  48       17.0000        8.7000
  49       20.0000        8.6000
  50       25.0000        8.2000
  51       30.0000        8.0000
  52       50.0000        7.7000
  53       75.0000        6.8000
  54      100.0000        6.5000
